country,id,name_eng,name_kor,category,program_category,area,city,score,toeic,toefl_ibt,toefl_itp,ielts,hsk,jlpt,jpt,zd,delf,dele,celi,cils,celpebras,toefl_home,toefl_mbs,specification,lastvisit,toefl_itp_availability,toeic_availability,toefl_mbs
Italy,E0086,Sapienza University of Rome,사피엔자,자매대학,일반교환,europe,Rome,,,72,,5.5,,,,,,,,,,,,,,FALSE,FALSE,
Italy,E0087,University of Bologna,볼로냐대,자매대학,일반교환,europe,Bologna,,785,72,,5.5,,,,,,,,A2,,,,,,,,
Czech Republic,E0088,Metropolitan University Prague,프라하 메트로폴리탄대,자매대학,일반교환,europe,Prague,,800,75,,5.5,,,,,,,,,,,,,,,,
Czech Republic,E0089,Tomas Bata University,토마스바타대,자매대학,일반교환,europe,Zlin,,785,72,,5.5,,,,,,,,,,,,,,,,
Czech Republic,E0090,University of Hradec Králové,흐라데츠크랄로베대,자매대학,일반교환,europe,Hradec Králové,,,80,,6,,,,,,,,,,,,,,FALSE,FALSE,
Czech Republic,E0091,University of Ostrava,오스트라바대,자매대학,일반교환,europe,Ostrava,,785,72,,5.5,,,,,,,,,,,,,,,,
Czech Republic,E0092,Brno University of Technology,브르노공대,자매대학,일반교환,europe,Brno,,,80,,6,,,,,,,,,,,,,,FALSE,FALSE,
Czech Republic,E0093,Palacky University Olomouc,올로모우츠팔라츠키대,자매대학,일반교환,europe,Olomouc,3,,72,,,,,,,,,,,,,,* TOEFL만 인정(IELTS 제외),,,FALSE,
Croatia,E0094,Algebra University College,알제브라대,자매대학,일반교환,europe,Zagreb,,800,75,,5.5,,,,,,,,,,,,,,,,
Turkey,E0095,Ankara University,앙카라대,자매대학,일반교환,europe,Ankara,,850,80,,6,,,,,,,,,,,,,,FALSE,,
Turkey,E0096,Dicle University,디클대,자매대학,일반교환,europe,Diyarbakır,,,70,,6,,,,,,,,,,,,,,,,
Turkey,E0097,Erciyes University,에르지에스대,자매대학,일반교환,europe,Kayseri,,850,80,,6,,,,,,,,,,,,,,,,
Turkey,E0098,Istanbul Aydin University,이스탄불애이든대,자매대학,일반교환,europe,Istanbul,,850,80,,6,,,,,,,,,,,,,,FALSE,,
Turkey,E0099,Altınbaş University,알틴바쉬대,자매대학,일반교환,europe,Istanbul,,,70,,,,,,,,,,,,,,*IELTS 제외,,FALSE,FALSE,
Turkey,E0100,Marmara University,마르마라대,자매대학,일반교환,europe,Istanbul,,800,75,,5.5,,,,,,,,,,,,,,,,
Turkey,E0101,Sinop University,시놉대,자매대학,일반교환,europe,Sinop,,800,75,,5.5,,,,,,,,,,,,,,,,
Turkey,E0102,Antalya International University (Antalya Bilim University),안탈리아빌림대,자매대학,일반교환,europe,Antalya,,850,80,,6,,,,,,,,,,,,,,,,
Turkey,E0103,Kahramanmaras Sutcu Imam University,카흐라만마라스대,자매대학,일반교환,europe,Kahramanmaraş,,850,8,,6,,,,,,,,,,,,,,,,
Kyrgyzstan,E0104,Osh Technological University,오쉬기술대,자매대학,일반교환,asia,Osh,,750,70,530,5,,,,,,,,,,,,,,,,
Portugal,E0105,Polytechnical Institute of Coimbra,코임브라공대,자매대학,일반교환,europe,Coimbra,,700,60,,4.5,,,,,,,,,,,,,,,,
Poland,E0106,Kozminski University,코즈민스키대,자매대학,일반교환,europe,Warsaw,,,72,,5.5,,,,,,,,,,,,,,FALSE,FALSE,
Poland,E0107,University of Economics in Katowice,카토비체경제대,자매대학,일반교환,europe,Katowice,,785,72,,5.5,,,,,,,,,,,,,,,,
Poland,E0108,Academy of Business in Dabrowa Gornicza,돔브로바고르니차경영대,자매대학,일반교환,europe,Dąbrowa Górnicza,,700,60,,4.5,,,,,,,,,,,,,,,,
Poland,E0109,University of Warsaw,바르샤바대,자매대학,일반교환,europe,Warsaw,,,72,,5.5,,,,,,,,,,FALSE,,,,FALSE,FALSE,
France,E0110,Audencia Nantes School of Management,오덴시아낭뜨경영대,자매대학,일반교환,europe,Nantes,,850,80,,,,,,,,,,,,,,*IELTS 제외,,FALSE,,
France,E0111,Ecole de Management de Normandie,노르망디비즈니스스쿨,자매대학,일반교환,europe,Le Havre,,785,72,,5.5,,,,,,,,,,,,"영어 수업 희망 시: 영어 성적 필요
 프랑스어 수업 희망 시: 프랑스어 성적 필요",,FALSE,,
France,E0112,ESSCA School of Management,ESSCA,자매대학,일반교환,europe,Angers,,785,72,550,5.5,,,,,,,,,,,,,,,,
France,E0113,ESCE International Business School,ESCE,자매대학,일반교환,europe,Paris,,785,72,,5.5,,,,,B2,,,,,,,,,,,
France,E0114,GES Schools' Network,GES 네트워크,자매대학,일반교환,europe,Paris,,,75,,,,,,,,,,,,,,*IELTS 제외,,FALSE,FALSE,
France,E0115,Jean Monnet University,장모네대,자매대학,일반교환,europe,Saint-Étienne,,750,70,,5,,,,,B2,,,,,,,,,FALSE,,
France,E0116,Pôle Universitaire Léonard de Vinci,폴대학교레오나드르드빈치,자매대학,일반교환,europe,Paris,,800,75,,55,,,,,A2,,,,,,,,,,,
France,E0117,SciencesCom,시앙스컴,자매대학,일반교환,europe,Nantes,,850,80,,,,,,,,,,,,,,*IELTS 제외,,FALSE,,
